"Name","Institution","state","session","updated_at"
An17t,"PR","UTFPR","ST-1","2019-05-07 08:18:20"
An17t,"PR","UTFPR","ST-1","2019-05-07 08:18:20"
Cl16m,"UFV","MG","ST-1","2019-05-07 08:18:26"
Ma15v,"UFRRJ","RJ","ST-2","2019-05-07 08:18:43"
Fe13r,"IF Catarinense","SC","ST-2","2019-05-07 08:19:24"
Da13d,"UFMG","MG","ST-2","2019-05-07 08:19:24"
Lu29i,"UFLA","MG","ST-3","2019-05-07 08:23:11"
Ma15s,"UFRJ","RJ","ST-3","2019-05-07 08:23:17"
An12r,"UFRJ","RJ","ST-3","2019-05-07 08:23:22"
Ka14i,"UFRJ","RJ","ST-3","2019-05-07 08:23:37"
Fe14i,"UFRJ","RJ","ST-3","2019-05-07 08:23:54"
Ti15i,"University of Cambridge","0","ST-3","2019-05-07 08:24:09"
Ju16t,"UTFPR","PR","ST-2","2019-05-07 08:25:19"
Do12b,"UFF","RJ","ST-2","2019-05-07 08:25:23"
Mi16r,"UFPR","PR","ST-1","2019-05-07 08:26:34"
Al16o,"UFPR","PR","ST-1","2019-05-07 08:26:37"
Al12m,"UFRJ","RJ","ST-2","2019-05-07 08:27:06"
He15r,"UTFPR","PR","ST-3","2019-05-07 08:31:27"
Mi15t,"UFRJ","RJ","ST-3","2019-05-07 08:31:39"
Ka13e,"PUCRS","RS","ST-3","2019-05-07 08:32:08"
Pe12t,"HP","RS","ST-1","2019-05-07 08:32:30"
Al11r,"UFJF","MG","ST-2","2019-05-07 08:32:45"
Lu26r,"","MG","ST-2","2019-05-07 08:32:46"
Ka13e,"PUCRS","RS","ST-1","2019-05-07 08:33:04"
Ka13e,"PUCRS","RS","ST-2","2019-05-07 08:33:53"
An15v,"UFPA","PA","ST-3","2019-05-07 08:36:18"
An15v,"UFPA","PA","ST-3","2019-05-07 08:36:18"
Pe12t,"HP","RS","ST-2","2019-05-07 08:39:02"
Fe12k,"UFJF","MG","ST-2","2019-05-07 08:39:35"
Mi11t,"UFPI","PI","ST-3","2019-05-07 08:39:37"
Al21r,"UFJF","RJ","ST-2","2019-05-07 08:39:39"
Ma15h,"UFPB","PB","ST-2","2019-05-07 08:39:45"
Pe11m,"HP","RS","ST-3","2019-05-07 08:40:15"
Al13t,"UNIP","MT","ST-2","2019-05-07 08:40:19"
Di14r,"ULBRA","RS","ST-2","2019-05-07 08:41:44"
Lu19r,"UNICAMP","SP","ST-1","2019-05-07 08:42:41"
Ar10e,"UNIPAMPA","RS","ST-3","2019-05-07 08:43:26"
Fr14g,"UNIPAMPA","RS","ST-3","2019-05-07 08:43:30"
Ma18h,"UFMG","MG","ST-2","2019-05-07 08:48:43"
Ra15c,"UFMG","MG","ST-3","2019-05-07 08:49:50"
Li12e,"UFPR","PR","ST-1","2019-05-07 08:50:38"
Ot11r,"UFLA","MG","ST-2","2019-05-07 08:51:03"
La12e,"UFRGS","RS","ST-1","2019-05-07 08:52:33"
Ar13o,"RS","UFRGS","ST-1","2019-05-07 08:52:34"
Lu12c,"UFRGS","RS","ST-1","2019-05-07 08:52:37"
Rh13u,"UFSM","RS","ST-1","2019-05-07 08:52:48"
Fi15o,"UFC","CE","ST-3","2019-05-07 08:52:50"
An15t,"IFSUL","RS","ST-1","2019-05-07 08:52:52"
Ad16t,"UFPA","PA","ST-3","2019-05-07 08:52:54"
Fe13f,"UFRGS","RS","ST-1","2019-05-07 08:52:56"
Ad11o,"PUCRJ","RJ","ST-1","2019-05-07 08:56:48"
Ma13z,"BA","UFBA","ST-3","2019-05-07 08:58:27"
Fr23j,"UFBA","CE","ST-3","2019-05-07 08:58:30"
Ar12m,"UFES","ES","ST-2","2019-05-07 08:59:20"
Ca12s,"UFES","ES","ST-3","2019-05-07 08:59:23"
Fa12i,"UFPB","PB","ST-2","2019-05-07 09:00:12"
An15v,"UFPA","PA","ST-3","2019-05-07 09:00:28"
An15v,"UFPA","PA","ST-1","2019-05-07 09:01:47"
Na14v,"UNICAMP","PI","ST-2","2019-05-07 09:02:14"
Ka13e,"PUCRS","RS","ST-2","2019-05-07 09:02:38"
Pe12t,"HP","RS","ST-2","2019-05-07 09:02:41"
Ra19e,"HPE","RS","ST-2","2019-05-07 09:02:55"
Ma13c,"UTFPR","PR","ST-1","2019-05-07 09:03:26"
Ma13c,"UTFPR","PR","ST-1","2019-05-07 09:03:35"
Ra15r,"UNA-SUS","DF","ST-2","2019-05-07 09:04:33"
Ro16h,"UNIPAMPA","RS","ST-3","2019-05-07 09:08:17"
Ad14ç,"IFPE","PE","ST-2","2019-05-07 09:09:39"
Ma13i,"UFABC","SP","ST-1","2019-05-07 09:13:51"
Fe14o,"UFPB","PB","ST-1","2019-05-07 09:20:10"
Hu13o,"IFSUL","RS","ST-2","2019-05-07 09:20:21"
Sa15r,"UFRGS","RS","ST-2","2019-05-07 09:20:31"
Lu12e,"UFPA","PA","ST-3","2019-05-07 09:20:49"
